id,name,slug,key,place_id,alt_names,created_at,updated_at
1,Europe,europe,eu,1,,"2017-12-28 04:32:12.729803","2017-12-28 04:32:12.729803"
2,"South America",south-america,sa,2,,"2017-12-28 04:32:12.739865","2017-12-28 04:32:12.739865"
3,"North America",north-america,na,3,,"2017-12-28 04:32:12.741901","2017-12-28 04:32:12.741901"
4,"Central America",central-america,ca,4,,"2017-12-28 04:32:12.744585","2017-12-28 04:32:12.744585"
5,Caribbean,caribbean,ci,5,,"2017-12-28 04:32:12.747773","2017-12-28 04:32:12.747773"
6,Africa,africa,af,6,,"2017-12-28 04:32:12.750358","2017-12-28 04:32:12.750358"
7,"Middle East",middle-east,me,7,,"2017-12-28 04:32:12.752356","2017-12-28 04:32:12.752356"
8,Asia,asia,as,8,,"2017-12-28 04:32:12.754138","2017-12-28 04:32:12.754138"
9,Pacific,pacific,pa,9,,"2017-12-28 04:32:12.755914","2017-12-28 04:32:12.755914"
10,Antarctica,antarctica,aq,10,,"2017-12-28 04:32:12.757677","2017-12-28 04:32:12.757677"
